A,ए,एक,कोई,अ,,,,Khushi,esign
Advice,उपदेश,खबर,सूचना,राय,मशवरा,सलाह,,Khushi,esign
All over,,,,,,,,Khushi,esign
Appointment,,,,,,,,Khushi,esign
Area,,,,,,,,Khushi,esign
Around,,,,,,,,Khushi,esign
At last ,,,,,,,,Khushi,esign
B,,,,,,,,Khushi,esign
Benefit,,,,,,,,Khushi,esign
Best,,,,,,,,Khushi,esign
Book,,,,,,,,Khushi,esign
C,,,,,,,,Khushi,esign
Children,,,,,,,,Khushi,esign
Click,,,,,,,,Khushi,esign
Communication,संवाद,बोलचाल,,,,,,Khushi,esign
Contact,,,,,,,,Khushi,esign
C-X,,,,,,,,Khushi,esign
D,,,,,,,,Khushi,esign
Deaf,,,,,,,,Khushi,esign
Develop,,,,,,,,Khushi,esign
Different,पृथक,भिन्न,भिन्न-भिन्न,विभिन्न,,,,Khushi,esign
E,,,,,,,,Khushi,esign
Education,,,,,,,,Khushi,esign
Eight,,,,,,,,Khushi,esign
Eight hundred,,,,,,,,Khushi,esign
eight o clock,,,,,,,,Khushi,esign
Eighteen,,,,,,,,Khushi,esign
Eleven,,,,,,,,Khushi,esign
eleven o clock,,,,,,,,Khushi,esign
Every year,,,,,,,,Khushi,esign
F,,,,,,,,Khushi,esign
Feel,,,,,,,,Khushi,esign
Fifteen,,,,,,,,Khushi,esign
Fill,,,,,,,,Khushi,esign
Finish,समाप्ति,ख़ात्मा,अंत,,,,,Khushi,esign
Five,,,,,,,,Khushi,esign
Five hundred,,,,,,,,Khushi,esign
Five o clock,,,,,,,,Khushi,esign
Forever,,,,,,,,Khushi,esign
Form,,,,,,,,Khushi,esign
Four,,,,,,,,Khushi,esign
Four hundred,,,,,,,,Khushi,esign
four o clock,,,,,,,,Khushi,esign
Fourteen,,,,,,,,Khushi,esign
G,,,,,,,,Khushi,esign
Go,बारी ,चलना,जाना,स्फूर्ति ,गमन,,,Khushi,esign
H,,,,,,,,Khushi,esign
Half past,,,,,,,,Khushi,esign
Hard of hearing,,,,,,,,Khushi,esign
Have a look,,,,,,,,Khushi,esign
Hearing,,,,,,,,Khushi,esign
Help - me,,,,,,,,Khushi,esign
Help - you,,,,,,,,Khushi,esign
Hire,,,,,,,,Khushi,esign
How long?,,,,,,,,Khushi,esign
I,,,,,,,,Khushi,esign
Interesting, आनंददायक,मज़ेदार,रोचक,मनोरंजक,,,,Khushi,esign
Interpreter,,,,,,,,Khushi,esign
J,,,,,,,,Khushi,esign
K,,,,,,,,Khushi,esign
Know,,,,,,,,Khushi,esign
Know well,,,,,,,,Khushi,esign
L,,,,,,,,Khushi,esign
Later,,,,,,,,Khushi,esign
Let me know,,,,,,,,Khushi,esign
M,एम,पुरुष ,,अंग्रेजी वर्णमाला का तेरहवां अक्षर,एक हज़ार,,,Khushi,esign
Maybe,कदाचित,लगभग,शायद,सम्भवतः,हो सकता है,,,Khushi,esign
N, एन,नाइट्रोजन,अंग्रेजी वर्णमाला का चौदहवां अक्षर,,,,,Khushi,esign
Naïve,सरलमति,सीधा,सीधा-सादा,निष्कपट,भोला,,,Khushi,esign
Next,दूसरा,बाद वाला,निकटतम,फिर,पास का,,,Khushi,esign
Next year,अगले वर्ष,,,,,,,Khushi,esign
Nine,नहला,नव,नौ,नौवा,नाइन,,,Khushi,esign
Nine Hundred,नौसो,,,,,,,Khushi,esign
nine o clock,नौ बजे,,,,,,,Khushi,esign
Nineteen,उन्नीस,,,,,,,Khushi,esign
N-N (norfolk), नान ,नानी ,मैदे से बनी एक प्रकार की तंदूरी रोटी,तपस्विन,भक्तिन,,,Khushi,esign
O,अजी, अरे, ओ, हे,,,,Khushi,esign
offer,भेंट, अर्पण करना,मोल ,,प्रस्ताव करना,,,Khushi,esign
One,एक ही,अकेला,अभिन्न, किसी, तनहा,,,Khushi,esign
One hundred,एक सौ,,,,,,,Khushi,esign
one o clock,एक बजे,,,,,,,Khushi,esign
come to you,तुम्हारे पास आना,,,,,,,Khushi,esign
OR,अथवा,अर्थात, अन्यथा, एवं,कि,,,Khushi,esign
P,फास्फोरस,पी,,,,,,Khushi,esign
Person,शख़्स,शख़्सियत, आदमी, मनुष्य ,पात्र ,,,Khushi,esign
Pick,बाना ,उकसाना,चुराना,पसन्द ,छाँटना,हटाना,,Khushi,esign
Plan,उपाय,यत्न,योजना,नक्शा बनाना,मनसूबा,कल्पना,,Khushi,esign
Provide,पहले से प्रबंध करना,पहले से ला रखना,देना,प्रदान करना,उपलब्ध कराना,,,Khushi,esign
Q,क्यू ,,,,,,,Khushi,esign
Quarter past,पिछली तिमाही,,,,,,,Khushi,esign
Quarter to,पौने,,,,,,,Khushi,esign
R,अंग्रेज़ी वर्णमाला का 18वां अक्षर,,,,,,,Khushi,esign
Ready,शीघ्र,सज्जित,पहले से ही,तैयार करना,प्राप्त धन,,,Khushi,esign
Receive,आदर करना,पकड़ना,पाना,स्वीकार करना, प्राप्त करना,,,Khushi,esign
Regions,खण्ड,भूभाग,क्षेत्र,मुल्क,लोक,,,Khushi,esign
Regular,रोज का ग्राहक,नित्य,नियम,स्थायी,प्रचलित,,,Khushi,esign
Responsibility,उत्तरदायित्व ,जवाबदेही,ज़िम्मेदारी,ज़िम्मेवारी, जवाब देही जिम्मेदारी,,,Khushi,esign
Roughly,क़रीब,लगभग, अशिष्टता से,रुखाई से,बेअदबी से,,,Khushi,esign
S,सेकंड, इस अक्षर के आकार का कोई पदार्थ या वस्‍तु,,,,,,Khushi,esign
Say,बयान,मत, पढ़ना, बोलना, वर्णन करना,,,Khushi,esign
Send,भिजवाना,लिख भेजना, आज्ञा देना, जाने देना, फेंकना,,,Khushi,esign
Seven,सात ,सप्त,,,,,,Khushi,esign
Seven hundred,सात सौ,,,,,,,Khushi,esign
seven o clock,सात बजे,,,,,,,Khushi,esign
Seventeen, सत्रह ,सत्तरह,,,,,,Khushi,esign
Six, छः, छह, छक्का,,,,,Khushi,esign
Six hundred,छे सौ,,,,,,,Khushi,esign
six o clock,छ: बजे,,,,,,,Khushi,esign
Sixteen, सोलह, सोलहवां भाग,,,,,,Khushi,esign
Someone,कोई, कोई व्यक्ति, महत्वपूर्ण आदमी, बड़ा आदमी,,,,Khushi,esign
Stupid, मूर्खतापूर्ण, सुस्त, मूढ़, अचेत, बेवकूफ,,,Khushi,esign
T,ट, टी अक्षर के आकार की वस्तु,,,,,,Khushi,esign
Tell,वर्णन करना, निर्देश देना,कहना,सूचना देना, बोलना,पढ़ाना,,Khushi,esign
Ten, दश, दशक, दहला,दस,पांच और पांच,,,Khushi,esign
ten o clock,दस बजे,,,,,,,Khushi,esign
Thirteen, तेरह, त्रयोदश,,,,,,Khushi,esign
That, वह, चूँकि, जो कि,इस हद तक, ताकि,,,Khushi,esign
